"","Agathobacter_ruminis_DSM_29029","Akkermansia_muciniphila_Muc_DSM_22959","Anaerobutyricum_hallii_DSM_3353","Anaerovibrio_lipolyticus_5S_DSM_3074","Bacteroides_caccae_DSM_19024","Bacteroides_cellulosyliticus_CRE21_DSM_14838","Bacteroides_thetaiotaomicron_DSM_2079","Basfia_succiniciproducens_DSM_22022","Bifidobacterium_adolescentis_DSM_20087","Bifidobacterium_ruminantium_DSM_6489","Butyrivibrio_fibrisolvens_CF3","Butyrivibrio_fibrisolvens_D1_DSM_3071","Butyrivibrio_sp_DSM_10294","Clostridium_aminophilum_F_DSM_10710","Clostridium_cadaveris_G65_AGR2141","Clostridium_paraputrificum_G594_AGR2156","Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313","Dorea_sp_AGR2135","Eubacterium_pyruvativorans_KHPC4","Eubacterium_siraeum_DSM_15702","Faecalibacterium_prausnitzii_A2-165_DSM_17677","Kandleria_vitulina_DSM_20405","Lachnospira_multipara_G6_ATCC_19207","Ligilactobacillus_ruminis_Lactobacillus_ruminis_DSM_20403","Marvinbryantia_formatexigens_DSM_14469","Methanocorpusculum_labreanum_Z_DSM_4855","Methanomicrobium_mobile_BP_DSM_1539","Prevotella_ruminicola_ATCC_19189","Propionibacteriaceae_bacterium_P6A17","Proteiniclasticum_ruminis_DSM_24773","Pseudobutyrivibrio_sp_LB2011","Roseburia_intestinalis_L1-82_DSM_14610","Roseburia_inulinivorans_DSM_16841","Ruminococcus_bromii_L2-63","Selenomonas_bovis_DSM_23594","Selenomonas_ruminantium_AB3002_P159","Sharpea_azabuensis_DSM_20406","Succinivibrio_dextrinosolvens_DSM_3072","Wolinella_sp_Vibrio_succinogenes_ATCC_33567","Prevotella_bryantii_B14_DSM_11371"
"Butyrivibrio_fibrisolvens_CF3",0.598770852,0.854670248,0.735147867,0.798099152,0.87606664,0.882737885,0.886460554,0.851317614,0.862116992,0.863623866,0,0.632749645,0.634238311,0.717498629,0.807029326,0.794277929,0.776170437,0.749177245,0.776197388,0.772209567,0.769032922,0.77263639,0.646230566,0.82386855,0.733231039,0.81183961,0.957605985,0.857211193,0.864624247,0.800744417,0.411417323,0.688868613,0.699048913,0.784257397,0.789555729,0.790764791,0.782327586,0.836393532,0.854055654,0.853255588
"Butyrivibrio_fibrisolvens_D1_DSM_3071",0.666503188,0.872361809,0.756971208,0.816566733,0.874362709,0.875201808,0.881287401,0.871112158,0.863418147,0.865243179,0.632749645,0,0.482285429,0.722475414,0.817678465,0.802972484,0.786776481,0.755523135,0.79911155,0.780835381,0.779249944,0.792236328,0.667425968,0.836122047,0.737431265,0.792179487,0.958205431,0.85243129,0.876267748,0.809596179,0.652600589,0.704596072,0.715347529,0.81042885,0.808305275,0.800338052,0.794309701,0.845283019,0.873130608,0.85305425
"Butyrivibrio_sp_DSM_10294",0.673697917,0.866174056,0.750790177,0.810217236,0.871859296,0.873809524,0.880790191,0.86407767,0.865339881,0.867279224,0.634238311,0.482285429,0,0.707241111,0.816635161,0.804810558,0.78658835,0.765415844,0.786308725,0.770766773,0.776790005,0.784790071,0.667749797,0.830978406,0.740633409,0.798039995,0.957179487,0.850520127,0.874090247,0.80733519,0.648371849,0.714589085,0.725242309,0.799100053,0.810448119,0.797790803,0.788601557,0.844923858,0.868599296,0.854047891
"Clostridium_aminophilum_F_DSM_10710",0.707600596,0.840410959,0.702310427,0.767638484,0.869855395,0.88413242,0.883019593,0.837011349,0.851043643,0.84824781,0.717498629,0.722475414,0.707241111,0,0.781968032,0.784892446,0.779133973,0.714625132,0.719727891,0.763613069,0.751008646,0.749186727,0.68342821,0.799470549,0.757406111,0.820836286,0.955176768,0.850385331,0.854277286,0.772829132,0.697715811,0.745321014,0.743053906,0.765915769,0.775254731,0.767573391,0.765402124,0.820273632,0.84062394,0.84710967
"Clostridium_cadaveris_G65_AGR2141",0.805316092,0.871157071,0.776670717,0.820686322,0.883761682,0.889608177,0.889613734,0.863945578,0.88210746,0.881836945,0.807029326,0.817678465,0.816635161,0.781968032,0,0.60586896,0.760469867,0.779398762,0.787537744,0.793638065,0.800048123,0.817560463,0.806739346,0.822607261,0.801843318,0.756996398,0.962836954,0.882379349,0.866883117,0.711213518,0.805542397,0.8102,0.808416834,0.804799137,0.806190125,0.821501014,0.810831234,0.873892125,0.86636971,0.878020976
"Clostridium_paraputrificum_G594_AGR2156",0.789281364,0.858278898,0.771134526,0.812652662,0.87408867,0.882757435,0.882516028,0.850877193,0.866365569,0.867454068,0.794277929,0.802972484,0.804810558,0.784892446,0.60586896,0,0.743503119,0.786013677,0.790761617,0.773136773,0.790946702,0.787493232,0.775963256,0.802136031,0.795027289,0.766294612,0.961285225,0.871444824,0.862251322,0.731664138,0.786180237,0.795449929,0.798986829,0.793989071,0.798461157,0.805319881,0.774882751,0.862573851,0.85151601,0.867636868
"Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum_DSM_1313",0.770173938,0.829853862,0.760875746,0.778617083,0.871205357,0.882127822,0.884867154,0.847169811,0.863350126,0.866439417,0.776170437,0.786776481,0.78658835,0.779133973,0.760469867,0.743503119,0,0.786376158,0.777051324,0.738243999,0.808128283,0.809345794,0.762331839,0.815313835,0.802979012,0.788728282,0.943766067,0.861640212,0.854302671,0.781319911,0.778461538,0.797765618,0.803088803,0.756372062,0.758825274,0.782945736,0.817251462,0.840762373,0.821651631,0.851461039
"Dorea_sp_AGR2135",0.73482347,0.867696629,0.644917768,0.820053282,0.883798011,0.892103472,0.891748156,0.860073645,0.866154254,0.864566929,0.749177245,0.755523135,0.765415844,0.714625132,0.779398762,0.786013677,0.786376158,0,0.743874644,0.774483134,0.734688691,0.787142085,0.736731477,0.832832559,0.695215206,0.782561456,0.962486884,0.872533454,0.868881119,0.800190976,0.749379036,0.696005268,0.695804964,0.751058425,0.806983034,0.813678709,0.784055728,0.858575469,0.864487287,0.872389259
"Eubacterium_pyruvativorans_KHPC4",0.752092724,0.824427481,0.73516129,0.782088587,0.867647059,0.883495146,0.884375,0.815480558,0.837728938,0.836764175,0.776197388,0.79911155,0.786308725,0.719727891,0.787537744,0.790761617,0.777051324,0.743874644,0,0.760029176,0.763880026,0.738822653,0.748986486,0.790378007,0.799457326,0.845113887,0.947173993,0.850089233,0.847913863,0.784562926,0.761814745,0.802080753,0.801636499,0.750940557,0.765403624,0.784765279,0.734922861,0.821491693,0.830896879,0.83902439
"Eubacterium_siraeum_DSM_15702",0.755639098,0.846124475,0.754418605,0.799937869,0.878211227,0.890480032,0.892073171,0.848684211,0.842422096,0.84545771,0.772209567,0.780835381,0.770766773,0.763613069,0.793638065,0.773136773,0.738243999,0.774483134,0.760029176,0,0.728786423,0.772999648,0.751971091,0.796460177,0.789512195,0.845930654,0.959010601,0.861494253,0.860841424,0.796945193,0.757407407,0.767,0.778438662,0.6718507,0.787697161,0.801024765,0.775941837,0.843950118,0.837519026,0.860811205
"Faecalibacterium_prausnitzii_A2-165_DSM_17677",0.771144279,0.864935065,0.737419173,0.810150892,0.880983182,0.888372093,0.893350766,0.856755943,0.858493443,0.860192423,0.769032922,0.779249944,0.776790005,0.751008646,0.800048123,0.790946702,0.808128283,0.734688691,0.763880026,0.728786423,0,0.772120459,0.767166763,0.821192053,0.74867664,0.832548476,0.965517241,0.86605317,0.862432355,0.80685441,0.769146608,0.744542499,0.707106963,0.717441477,0.814336721,0.813670886,0.770453208,0.858145657,0.871803069,0.86344756
"Kandleria_vitulina_DSM_20405",0.76728972,0.831325301,0.764051884,0.812712126,0.874011976,0.890596562,0.887661142,0.833274586,0.829496403,0.829907867,0.77263639,0.792236328,0.784790071,0.749186727,0.817560463,0.787493232,0.809345794,0.787142085,0.738822653,0.772999648,0.772120459,0,0.741602927,0.749422633,0.798153996,0.859686917,0.957310566,0.857597685,0.853075916,0.79057117,0.751633987,0.80713246,0.811320755,0.765068991,0.801877934,0.800857143,0.494285714,0.82807138,0.844984802,0.847703704
"Lachnospira_multipara_G6_ATCC_19207",0.638535032,0.83659902,0.716196137,0.777940745,0.867554152,0.881480054,0.881197745,0.833440514,0.842889537,0.840486867,0.646230566,0.667425968,0.667749797,0.68342821,0.806739346,0.775963256,0.762331839,0.736731477,0.748986486,0.751971091,0.767166763,0.741602927,0,0.802618328,0.752428335,0.81809074,0.950581395,0.850714093,0.857441721,0.793296089,0.650140318,0.715967623,0.722344322,0.766091573,0.777712264,0.780388979,0.755590062,0.811524992,0.842068966,0.834948768
"Ligilactobacillus_ruminis_Lactobacillus_ruminis_DSM_20403",0.816455696,0.837015423,0.814594425,0.819570871,0.888723668,0.902291667,0.901494422,0.828409091,0.809019608,0.812548114,0.82386855,0.836122047,0.830978406,0.799470549,0.822607261,0.802136031,0.815313835,0.832832559,0.790378007,0.796460177,0.821192053,0.749422633,0.802618328,0,0.842710372,0.876491126,0.955752212,0.874811463,0.834868887,0.784521516,0.808791209,0.847191562,0.840533202,0.798036995,0.796734422,0.817938818,0.74521142,0.837513631,0.841133005,0.871195819
"Marvinbryantia_formatexigens_DSM_14469",0.746774194,0.870691824,0.705076741,0.827540695,0.879688349,0.87757732,0.88455337,0.866603595,0.869149952,0.873027091,0.733231039,0.737431265,0.740633409,0.757406111,0.801843318,0.795027289,0.802979012,0.695215206,0.799457326,0.789512195,0.74867664,0.798153996,0.752428335,0.842710372,0,0.784101174,0.966026242,0.872715947,0.867877412,0.810670137,0.736951023,0.714285714,0.72156706,0.79342723,0.829623099,0.820805648,0.795200373,0.863805104,0.882076638,0.871875656
"Methanocorpusculum_labreanum_Z_DSM_4855",0.817531557,0.900014704,0.804007337,0.850234872,0.889225182,0.882154882,0.886141396,0.887523224,0.90367428,0.904171364,0.81183961,0.792179487,0.798039995,0.820836286,0.756996398,0.766294612,0.788728282,0.782561456,0.845113887,0.845930654,0.832548476,0.859686917,0.81809074,0.876491126,0.784101174,0,0.8398872,0.89820751,0.887168759,0.78671629,0.820380926,0.783233998,0.790050264,0.854045402,0.841635273,0.834856221,0.844258814,0.893393183,0.889775414,0.898880843
"Methanomicrobium_mobile_BP_DSM_1539",0.956707317,0.942686056,0.95351645,0.944904459,0.962132536,0.965091973,0.964723278,0.949659349,0.959831676,0.957029778,0.957605985,0.958205431,0.957179487,0.955176768,0.962836954,0.961285225,0.943766067,0.962486884,0.947173993,0.959010601,0.965517241,0.957310566,0.950581395,0.955752212,0.966026242,0.8398872,0,0.956574924,0.955328878,0.96228674,0.954900782,0.967969854,0.968919237,0.958575581,0.944551282,0.948305572,0.956320318,0.956899674,0.930401366,0.956440572
"Prevotella_ruminicola_ATCC_19189",0.854414042,0.811584327,0.861893882,0.850809663,0.652976345,0.650915668,0.680419269,0.838541667,0.873303167,0.873771956,0.857211193,0.85243129,0.850520127,0.850385331,0.882379349,0.871444824,0.861640212,0.872533454,0.850089233,0.861494253,0.86605317,0.857597685,0.850714093,0.874811463,0.872715947,0.89820751,0.956574924,0,0.866969869,0.871065223,0.854081633,0.870474995,0.881401617,0.865907099,0.851545842,0.853150282,0.862830652,0.835624626,0.847463175,0.507513661
"Propionibacteriaceae_bacterium_P6A17",0.860889396,0.812475634,0.854267083,0.837967115,0.875711575,0.890339426,0.887873248,0.799641577,0.742649866,0.756142964,0.864624247,0.876267748,0.874090247,0.854277286,0.866883117,0.862251322,0.854302671,0.868881119,0.847913863,0.860841424,0.862432355,0.853075916,0.857441721,0.834868887,0.867877412,0.887168759,0.955328878,0.866969869,0,0.839793282,0.856255295,0.885791367,0.884710651,0.852185519,0.839783978,0.848287113,0.852570022,0.845588235,0.824360443,0.86441168
"Proteiniclasticum_ruminis_DSM_24773",0.799625968,0.85820174,0.797562268,0.81288925,0.876662377,0.885021292,0.883112025,0.840168878,0.866287765,0.868514151,0.800744417,0.809596179,0.80733519,0.772829132,0.711213518,0.731664138,0.781319911,0.800190976,0.784562926,0.796945193,0.80685441,0.79057117,0.793296089,0.784521516,0.810670137,0.78671629,0.96228674,0.871065223,0.839793282,0,0.79421904,0.82326284,0.813928183,0.808414044,0.802414929,0.810505152,0.782420749,0.85212086,0.8553137,0.871173469
"Pseudobutyrivibrio_sp_LB2011",0.593564511,0.851600388,0.72023642,0.785793256,0.876659529,0.885624538,0.888289963,0.846844152,0.851224675,0.853694875,0.411417323,0.652600589,0.648371849,0.697715811,0.805542397,0.786180237,0.778461538,0.749379036,0.761814745,0.757407407,0.769146608,0.751633987,0.650140318,0.808791209,0.736951023,0.820380926,0.954900782,0.854081633,0.856255295,0.79421904,0,0.69952381,0.700238095,0.784724361,0.785952249,0.78191626,0.762711864,0.828402367,0.850593139,0.854559545
"Roseburia_intestinalis_L1-82_DSM_14610",0.69686747,0.879054564,0.704442861,0.829209015,0.885305309,0.887052784,0.891517785,0.876592732,0.876820243,0.880065975,0.688868613,0.704596072,0.714589085,0.745321014,0.8102,0.795449929,0.797765618,0.696005268,0.802080753,0.767,0.744542499,0.80713246,0.715967623,0.847191562,0.714285714,0.783233998,0.967969854,0.870474995,0.885791367,0.82326284,0.69952381,0,0.542477673,0.764451235,0.81317446,0.815436242,0.807977737,0.865998602,0.87725,0.871513102
"Roseburia_inulinivorans_DSM_16841",0.687788298,0.885971493,0.718551611,0.8316788,0.891672675,0.896738266,0.898031055,0.877565464,0.878072059,0.879188296,0.699048913,0.715347529,0.725242309,0.743053906,0.808416834,0.798986829,0.803088803,0.695804964,0.801636499,0.778438662,0.707106963,0.811320755,0.722344322,0.840533202,0.72156706,0.790050264,0.968919237,0.881401617,0.884710651,0.813928183,0.700238095,0.542477673,0,0.779511704,0.827555556,0.826891106,0.80701347,0.870120818,0.883026381,0.881835324
"Ruminococcus_bromii_L2-63",0.774559194,0.835312747,0.738545338,0.805494159,0.885040885,0.898842169,0.896672145,0.849698688,0.836131387,0.840616046,0.784257397,0.81042885,0.799100053,0.765915769,0.804799137,0.793989071,0.756372062,0.751058425,0.750940557,0.6718507,0.717441477,0.765068991,0.766091573,0.798036995,0.79342723,0.854045402,0.958575581,0.865907099,0.852185519,0.808414044,0.784724361,0.764451235,0.779511704,0,0.795068844,0.810935252,0.769439728,0.847609219,0.846452113,0.85508982
"Selenomonas_bovis_DSM_23594",0.784749578,0.82161595,0.777933352,0.568027211,0.866577121,0.882903534,0.879396985,0.809724473,0.848407643,0.848522942,0.789555729,0.808305275,0.810448119,0.775254731,0.806190125,0.798461157,0.758825274,0.806983034,0.765403624,0.787697161,0.814336721,0.801877934,0.777712264,0.796734422,0.829623099,0.841635273,0.944551282,0.851545842,0.839783978,0.802414929,0.785952249,0.81317446,0.827555556,0.795068844,0,0.510130719,0.787851586,0.80964387,0.802955665,0.845464422
"Selenomonas_ruminantium_AB3002_P159",0.793307593,0.84379833,0.79075115,0.537527946,0.862884656,0.878000361,0.876889455,0.81738367,0.861103172,0.861056199,0.790764791,0.800338052,0.797790803,0.767573391,0.821501014,0.805319881,0.782945736,0.813678709,0.784765279,0.801024765,0.813670886,0.800857143,0.780388979,0.817938818,0.820805648,0.834856221,0.948305572,0.853150282,0.848287113,0.810505152,0.78191626,0.815436242,0.826891106,0.810935252,0.510130719,0,0.803141078,0.804153447,0.820456678,0.849028401
"Sharpea_azabuensis_DSM_20406",0.769502502,0.84187881,0.75625552,0.814502038,0.880909091,0.886483324,0.888648861,0.834762533,0.834004024,0.835865258,0.782327586,0.794309701,0.788601557,0.765402124,0.810831234,0.774882751,0.817251462,0.784055728,0.734922861,0.775941837,0.770453208,0.494285714,0.755590062,0.74521142,0.795200373,0.844258814,0.956320318,0.862830652,0.852570022,0.782420749,0.762711864,0.807977737,0.80701347,0.769439728,0.787851586,0.803141078,0,0.83546735,0.853478566,0.8545961
"Succinivibrio_dextrinosolvens_DSM_3072",0.832984762,0.813327981,0.835200472,0.80296343,0.858335379,0.876137304,0.872251309,0.674125305,0.840333092,0.845115453,0.836393532,0.845283019,0.844923858,0.820273632,0.873892125,0.862573851,0.840762373,0.858575469,0.821491693,0.843950118,0.858145657,0.82807138,0.811524992,0.837513631,0.863805104,0.893393183,0.956899674,0.835624626,0.845588235,0.85212086,0.828402367,0.865998602,0.870120818,0.847609219,0.80964387,0.804153447,0.83546735,0,0.790368272,0.81871345
"Wolinella_sp_Vibrio_succinogenes_ATCC_33567",0.849837134,0.773871734,0.846451613,0.806834031,0.86333422,0.882015024,0.880446927,0.748806941,0.850406504,0.850519584,0.854055654,0.873130608,0.868599296,0.84062394,0.86636971,0.85151601,0.821651631,0.864487287,0.830896879,0.837519026,0.871803069,0.844984802,0.842068966,0.841133005,0.882076638,0.889775414,0.930401366,0.847463175,0.824360443,0.8553137,0.850593139,0.87725,0.883026381,0.846452113,0.802955665,0.820456678,0.853478566,0.790368272,0,0.842966923
"Prevotella_bryantii_B14_DSM_11371",0.849185497,0.807785888,0.852140078,0.844738978,0.667013528,0.667643743,0.68099955,0.825361863,0.87208589,0.874282261,0.853255588,0.85305425,0.854047891,0.84710967,0.878020976,0.867636868,0.851461039,0.872389259,0.83902439,0.860811205,0.86344756,0.847703704,0.834948768,0.871195819,0.871875656,0.898880843,0.956440572,0.507513661,0.86441168,0.871173469,0.854559545,0.871513102,0.881835324,0.85508982,0.845464422,0.849028401,0.8545961,0.81871345,0.842966923,0
